CIL IV #,Reggio,Insula,Entrance,found?,In English,org. ,Literacy (1-3),In org. language,Context type specific,Context type general,Famous House,Category,Written by,Work,Meter,Repetition,Foreign language,Image ,Flohr Score,Socio-economic status,comments
2081,7,1,8,,Colepius senior licks cunt,,2,,,Baths,Stabian Baths,Sexual,,,,,,,1.69-1.94,low,
2111,7,1,8-Jan,,"Iarinus, you are living here.",,2,,,Baths,Stabian Baths,Social,,,,,,,1.69-1.94,low,
760,7,1,8-Jan,,"Lick my cock My cock, you must lick it well I am dripping.",,2,,,Baths,Stabian Baths,Sexual,,,,,,,1.69-1.94,low,
2083,7,1,8,,"Myrtilus, may the emperor favor you",,2,,,Baths,Stabian Baths,Political/Social,,,,,,,1.69-1.94,low,
2082,7,1,8-Jan,,To a cross they should nail you!,,3,,,Baths,Stabian Baths,Insult,,,,,,,1.69-1.94,low,
2098,7,1,8-Jan,,"Vettius Proclus, bye!",,2,,,Baths,Stabian Baths,Social,,,,,,,1.69-1.94,low,
1712,7,1,41_42,,On July 14th I repaired the serrated knife and the leather bodkin,,3,,,tabernae,,Civic,,,,,,,,high,
1787,8,1,1,,"Epaphra, give that pen back!",,3,,entrance,,Basilica,Social,,,,yes,,,,low,
1796,8,1,1,,If anyone is looking for tender embraces in this town: no girl is expecting letters from her man,,3,,entrance,,Basilica,Romantic,,,,,,,,low,
1781,8,1,1,,"My darling, my sweet, let us play for a while and let us consider this bed to be a field and myself to be a horse at your disposal",,3,,entrance,,Basilica,Sexual,,,yes,,,,,low,
1783,8,1,1,,"Philodamus was (a slave) of Craudelius Festus, now he is a slave of Marcus Marianus.",,3,,entrance,,Basilica,Civic,,,,,,,,low,
1791,8,1,1,,Sweet is love for our hearts…and for lethargy an old,,2,,entrance,,Basilica,Romantic,,,,,,,,low,
1939,8,1,1,,"(In Rome) once lived the very rich Vibii, but they did not hold a scepter instead instead of a prick in their hands, which is what you do every day, holding your penis in your hand",,3,,,,Basilica,Political,,,,,,,,low,
1863,8,1,1,,"(Take) the cook, if you wish. Permission granted",,3,,,,Basilica,Civic,,,yes,,,,,low,
1860,8,1,1,,"….as many as I have written once, and you read… she who named her price is not",,3,,,,Basilica,Insult,,,,,,,,low,
1830,8,1,1,,A hairy cunt is much better fucking than a bald one: it both keeps the warmth and tickles the cock.,,3,,,,Basilica,Sexual,,,yes,,,,,low,
1899,8,1,1,,A orator makes a man (of someone); whoever buys a learned slave has no mouth.,,3,,,,Basilica,Insult,,,,,,,,low,
1839,8,1,1,,"Agatho, slave of Herennius, asks Venus…that he may die, I pray! Darling!",,3,,,,Basilica,Religious,,,,,,,,low,
1934,8,1,1,,Amicus sends greetings to Pyrrhus. Written by Sammanara,,2,,,,Basilica,Social,,,,yes,,,,low,
1845,8,1,1, ,and salvius were here,,2,,,,Basilica,Sexual,,,,,,,,low,
1950,8,1,1,,"Anyone who is a lover, may walk along Scythia's shores, but no one wishes to be so barbarous as to hit out.",,3,,,,Basilica,Reference,,Propertius,yes,,,,,low,
1824,8,1,1,,"Anyone who is in love: come! I want to break Venus' ribswith clubs and paralyze the Godess' loins! If she can pierce my tender heart, why can I not bash her head in with my club?",,3,,,,Basilica,Religious,,,,,,,,low,
1940,8,1,1,,"Arescusa, the chaste girl, cautiously let it in the willie",,2,,,,Basilica,Sexual,,,,,,,,low,
1928,8,1,1,,"As, I am writing, Love dictates and Cupid shows (what to say) May I die if I wished to be a god without you!",,3,,,,Basilica,Romantic,,,,,,,,low,
1827,8,1,1,,"Bye, Alce! (clearly a eunuch!) Alce Mago!",,2,,,,Basilica,Insult,,,,,,,,low,
1821,8,1,1,,"Bye, Mugo!",,2,,,,Basilica,Social,,,,,,,,low,
1812,8,1,1,,Caesius Fidelis loves M… from Nuceria,,3,,,,Basilica,Romantic,,,,,,,,low,
1854,8,1,1,,"Calliste, eat up!",,2,,,,Basilica,Sexual,,,,,,,,low,
1849a,8,1,1,,Casaer dictator,,2,,,,Basilica,Political,,,,,,,,low,
1820,8,1,1,,"Chius, I hope your haemorrhiods open up again, so that they burn worse than they have burned already.",,3,,,,Basilica,Insult,,,,,,,,low,
1825,8,1,1,,"Cosmus, slave of Equitia, is a big fag got and a cocksucker, with legs wide open to male….",,3,,,,Basilica,Sexual,,,,,,,,low,
1829,8,1,1,,"Crispus, bye!",,2,,,,Basilica,Social,,,,,,,,low,
1926,8,1,1,,Epaphra is not a ball player,,3,,,,Basilica,Insult,,,,,,,,low,
1816,8,1,1,,"Epaphra, you are hairless",,2,,,,Basilica,Insult,,,,yes,,,,low,
1927,8,1,1,,For you will tell me!,,3,,,,Basilica,Insult,,,,,,,,low,
3072,8,1,1,,Founding mother of the Aeneads,,3,,,,Basilica,Reference,Lucretius,,yes,,,,,low,
1842,8,1,1,,"Gaius Pumidius Diphilius was here on October 3rd during the consulate of Marcus Lepidus and Quintus Catulus, with…",,3,,,,Basilica,Sexual,,,,,,,,low,
1884,8,1,1,,"He who visited my cock, what do you think he had for dinner?",,3,,,,Basilica,Sexual,,,yes,,,,,low,
1904,8,1,1,,"I am amazed, wall, that you have not yet collapsed, as you bear the nagging of so many writers",,3,,,,Basilica,Insult,,,,yes,,,,low,
1831,8,1,1,,"If one is drinking, he does not care about the rest.",,3,,,,Basilica,Social,,,,,,,,low,
1882,8,1,1,,"If you bugger an orderly, you will burn your cock",,3,,,,Basilica,Insult,,,yes,,,,,low,
1837,8,1,1,,"If you can but do not want to, why are the delights postponed? Why do you feed my hope and always tell me to come back tomorrow? So force me to die, whom you force to live without you. You will certaintly receive a reward for the good deed of not having tortured (me). what hope has taken away, hope will surely restore to the lover. Whoever reads this must hereafter not read... anything else. Nothing good to whoever wrote the above! True words! Good luck to Hedistus!",,3,,,,Basilica,Romantic/Social,,,,,,,,low,
1936,8,1,1,,"Let Amianthus, Epaphra and Tertius play together with Hedistus; Jucundus from Nola must fetch (the balls), Citus is to keep score and so is Stachus- Amianthus ",,3,,,,Basilica,Social,,,,,,,,low,
1948,8,1,1,,Lucilla made profit with her body,,2,,,,Basilica,Insult,,,,,,,,low,
1880,8,1,1,,"Lucius Istacidius: he, at whose place I do not eat, is a barbarian to me.",,3,,,,Basilica,Insult,,,,,,,,low,
1931,8,1,1,,Motherfuckingwise,,2,,,,Basilica,Insult,,,,,,,,low,
1825a,8,1,1,,Narcissus super cocksucker Narcissus,,2,,,,Basilica,Insult/Sexual,,,,,,,,low,
1883,8,1,1,,"No man is agreeable, who hasn't loved a woman when he was a young boy",,2,,,,Basilica,Romantic,,,,,,,,low,
1949,8,1,1,,"Oppius intermission actor! Thief, petty thief!",,3,,,,Basilica,Insult,,,,,,,,low,
1826,8,1,1,,Phileros eunuch,,2,,,,Basilica,Insult/Sexual,,,,,,,,low,
1776,8,1,1,,"Philocalus, prick",,2,,,,Basilica,Insult,,,,,,,,low,
1850,8,1,1,,Phoebus sucks it,,2,,,,Basilica,Sexual,,,,,,,,low,
1852,8,1,1,,Pyrrhus sends his colleague Chius. I am really sorry to hear that you are dead. Therefore goodbye.,,3,,,,Basilica,Social,,,,,,,,low,
1944,8,1,1,,Pyrrichus send greetings to Alcimus,,2,,,,Basilica,Social,,,,yes,,,,low,
1838,8,1,1,,Quintus Contobouiouindillus sends greetings to the inkeepers.,,3,,,,Basilica,Social,,,,,,,,low,
1877-1878,8,1,1,,"Riddle. The women carried a son who resembled her. He is neither mine nor does he resemble me, but I wish he were mine. -I also wanted him to be mine. -…Solved the riddle (…) -It is: ""Lick the cock""",,3,,,,Basilica,Social,multiple,,,,,,,low,
1847,8,1,1,,"Rufius, slave of Sittius Publius, has painted this ship on March 23rd during the consulate of Gaius Caesar and Publius Servilius",,3,,,,Basilica,Civic,,,,,,,,low,
1864,8,1,1,,Samius to Cornelius: hang yourself!,,2,,,,Basilica,Insult,,,,,,,,low,
1951,8,1,1,,"Sarra, what you do is not good: you're leaving me alone. Weak.",,2,,,,Basilica,Insult,,,,,,,,low,
1892,8,1,1,,Scaripus to the old man: greetings!,,2,,,,Basilica,Social,,,,,,,,low,
1798,8,1,1,,"Screwed, whoever reads (this)",,2,,,,Basilica,Insult,,,,,,,,low,
1819,8,1,1,,"Suavis is thirsting after wine jugs, I ask you, yes he is really thirsting. Calpurnia says hi to you.",,3,,,,Basilica,Insult/Social,,,yes,,,,,low,
1891,8,1,1,,"The letter which will always greet the brothers Theorianus, now remains under the name of Dexter for all time",,3,,,,Basilica,Social,,,yes,,,,,low,
1894,8,1,1,,"The porter should be awake for those who bring (gifts). But if someone knocks empty handed, he should be deaf and sleep with the latch thoroughly shut",,3,,,,Basilica,Reference,Propertius,,yes,,,,,low,
1811,8,1,1,,"The smallest evil becomes greatest by disregarding it, Menedemerumenus",,3,,,,Basilica,Insult,,,,,,,,low,
1937,8,1,1,,To all who invite me to dinner: all the best!,,3,,,,Basilica,Social,,,,,,,,low,
1837a,8,1,1,,Unwilling unwilling wished but I want knights to…,,3,,,,Basilica,Reference,Vergil,Aeneid,yes,,,,,low,
1881,8,1,1,,Virgula to her Tertius: you're gross!,,2,,,,Basilica,Insult,,,,,,,,low,
1895,8,1,1,,What can be so hard as a rock? What softer than water? Hard rocks however are eroded by soft.,,3,,,,Basilica,Reference,ovid,,yes,,,,,low,
1902,8,1,1,,When Mevius has risen in the dead of night..leaves at night,,3,,,,Basilica,Insult,,,,,,,,low,
1896,8,1,1,,"When the ham is cooked, if it if it served to the guest, he does not take, (but) he licks the pot or the cooking-pot",,3,,,,Basilica,Social,,,yes,,,,,low,
1898,8,1,1,,"Whoever is in love should not take hot baths, for no one can love flames if he is burned",,3,,,,Basilica,Romantic,,,,,,,,low,
1841,8,1,1,,"Whoever, you are forget the lost Greeks Narcissus writes this!",,3,,,,Basilica,Insult,,,,,,,,low,
1813,8,1,1,,Woe you!,,3,,,,Basilica,Insult,,,,,,,,low,
1941,8,1,1,,"You, who consider turning on the lamp, you have a hot mouth",,3,,,,Basilica,Insult,,,,,,,,low,
1938,8,1,1,,Your cock orders: make love!,,3,,,,Basilica,Sexual,,,,,,,,low,
1893,8,1,1,,"Your door should be deaf to whoever asks, and it should open for whoever brings (gifts). May the admitted lover hear the words of the excluded one!",,3,,,,Basilica,Reference,ovid,amores,yes,,,,,low,
671,8,1,2,,Nero's,,2,,,,Basilica,Political,,,,,,,,low,
1780,8,1,2,,"What shall I do with you, twinkling eyes?",,3,,,,Basilica,Romantic,,,yes,,,,,low,
1763,8,1,3_4,,"Happy you too, who…",,2,,,temple,Temple of Venus,Social,,,,,,,,low,
1764,8,1,3_4,,NEPVNVS,,2,,,temple,Temple of Venus,Religious,,,,,,,,low,
1769,8,1,3_4,,"Pudens, is vendor of cookies here",,2,,,temple,Temple of Venus,Civic,,,,,,,,low,
1772,8,1,3_4,,Secundus of Cararus faggot,,2,,,temple,Temple of Venus,Insult,,,,,,,,low,
1768,8,1,3_4,,Verrecunus (is) vendor of cookies here; 200,,2,,,temple,Temple of Venus,Civic,,,,,,,,low,
2409a ,9,1,22_29,,Stronius Stronius knows nothing,,2,,atrium,house,House of Cuspius Pansa,Insult,,,,,,,42.14,high,
2400d,9,1,22_29,,Aemilius sends his greetings to Curvius,,2,,entrance,house,House of Cuspius Pansa,Social,,,,yes,,,42.14,high,
2400g,9,1,22_29,,Curvius sends greetings to Sabinus,,3,,entrance,house,House of Cuspius Pansa,Social,,,,yes,,,42.14,high,
2400e,9,1,22_29,,Curvius sends his greetings to Aemilius,,2,,entrance,house,House of Cuspius Pansa,Social,,,,yes,,,42.14,high,
2400f,9,1,22_29,,Sabinus sends greetings to Curvius (Sabi)nus,,2,,entrance,house,House of Cuspius Pansa,Social,,,,yes,,,42.14,high,
950,9,1,13-14,,"Wherever I like, I sit!",,3,,façade,tabernae,,,,,,,,,1.5,low,
2396,9,1,22,,"How modest you are, with your great power, dagger",,3,,peristyle,tabernae,,Political,,,,,,dagger,42.14,high,
2401,9,1,22_29,,"Cursius, Sabinus, Sabinus",,2,,peristyle,house,House of Cuspius Pansa,Tagging,,,,,,,42.14,high,
2393,9,1,22_29,,"Daphmus from Asia with his Apra from Ionia, here and everywhere",,3,,peristyle,house,House of Cuspius Pansa,Sexual,,,,,,,42.14,high,
2398,9,1,22_29,,"Fight, Gangens! Caesar is watching you!",,3,,peristyle,house,House of Cuspius Pansa,Political/Violence,,,,,,,42.14,high,
2399,9,1,22_29,,"O you lucky devil, who",,2,,peristyle,house,House of Cuspius Pansa,Social,,,,,,,42.14,high,
2400,9,1,22_29,,"Satyr, don't lick cunt outside, but inside of town! Arpogras asks that you lick his cock. But, cocksucker, what…",,3,,peristyle,house,House of Cuspius Pansa,Sexual,,,,,,,42.14,high,
1069,9,1,22_29,,The barbaric Trumpeter with hollow bronze gave a … signal,,3,,peristyle,house,House of Cuspius Pansa,Reference,Virgil,Aeneid,yes,,,,42.14,high,
2395,9,1,22_29,,writes Sabinus,,2,,peristyle,house,House of Cuspius Pansa,Tagging,,,,,,,42.14,high,
2411,9,1,22_29,,Aphrodite,,2,,,house,House of Cuspius Pansa,Religious,,,,,yes,,42.14,high,
3200,9,1,22_29,,Felix sucks it!,,2,,,house,House of Cuspius Pansa,Insult,,,,,,,42.14,high,
2409,9,1,22_29,,Genialis faggot,,2,,,house,House of Cuspius Pansa,Insult,,,,,,,42.14,high,
2400a,9,1,22_29,,"Now then Zeus' fraud…with you, Diomedes",,2,,,house,House of Cuspius Pansa,Religious,,,yes,,yes,,42.14,high,
2410,9,1,22_29,,To the bath!,,3,,,house,House of Cuspius Pansa,Social,,,,,,,42.14,high,
2403,9,1,23,,Jonis sucks it.,,2,,,tabernae,,Sexual,,,,yes,,,1.53,low,
2402,9,1,23,,Jonis with Filetus sucks it here,,2,,,tabernae,,Sexual,,,,yes,,,1.53,low,
4977,9,1,27,yes,"Here Quintio fucked ass-shakers, and saw how it hurt them",,3,,,tabernae,,Sexual,,,,,,,1.71,low,
2960,9,1,,,"I ask you, fall ill!",,2,,,,,Reference,,Virgil,,yes,,,,high,
3889,1,2,6,,All Fell silent/ all/ and atent (ively),"Milnor 2009, 303- 304, 313-314",3,Conticvere Omnes Omn(es) Intentiq(..) s,atrium,,,Reference,Virgil,"Aeneid 2,1",,,,,15.31,low,
3888,1,2,6,,On November 19th I attended the meeting,?,2,XII K Dec in conventv veni,atrium,,,Civic,,,,,,,15.31,low,
3928,1,2,19,,Best wishes to serena from her friends,?,2,Serenae sodales sal,latrine,,,Social,,,,,,,22.2,medium,
3926,1,2,19,,Diadum in us here and everywhere,?,2,Diadvmus hic et vbique,latrine,,,Political/Social,,,,,,,22.2,medium,
3925,1,2,19,,"Saturnius, don't lick cunt",?,2,Satvrnine cvnvm linge re nol(i),latrine,,,Insult/Sexual,,,,,,,22.2,medium,
3891,1,2,6,,Bye Actius Anicetus!/ Bye Horus,"Franklin jr. 1987, 102 and n 670",2,Acti anicete va hore va,peristyle,,,Social,,,,,,,15.31,low,
3948,1,2,24,,May such lies cost you dearly innkeeper! You sell water and drink pure wine yourself,?,2,…,peristyle,,,Insult,,,metrical,,,,18,low,
3951,1,2,24,,"Resistus (says): Resistua, take off your tunic please shameful (..) hairy (…)","Solin, 2014 96",2,Restvtvs restvtvta pone tvnica rogo pvdes pilosa co,peristyle,,,Insult/Sexual,,,,,,,18,low,
3905,1,2,7,,… write later long,"Milnor2014, 159-174",3,…,room,tabernae,,Social,Woman,,,,,,4.99,low,
3908,1,2,7,,"Bye Acratus, bye Acratus!",?,2,Acrate va acra va,room,tabernae,,Social,,,,,,,4.99,low,
3885,1,2,5,,"Dionysus, I want you to (..)",Biville 2003 229,3,,,tabernae,,Religious,,,,,,,2.46,low,
3941,1,2,20,,Ampliatus….here with/ his friends,?,2,Ampliatvs cvm svis sodalibvs hic,,bar,,Sexual,,,,yes,,,9.47,low,
3935,1,2,20,,Festus has fucked here with his friends,?,2,Festvs hic fvtvit com sodalibvs,,bar,,Sexual,,,,,,,9.47,low,
3942,1,2,20,,Here Ampliatus the African fucked with his friends,?,2,Ampliatvs afer hic fvtvit cvm svis sodalibvs,,bar,,Sexual,,,,yes,,,9.47,low,
3934,1,2,20,,Here I Arinus with Athetus…,?,2,Iarinu=vs cumatheto hic,,bar,,Sexual,,,,yes,,,9.47,low,
3932,1,2,20,,"Here I bugger dear Rufus (…). Girls, be sad! Bye arrogant cunt",Varone 2002 134-135,3,…,,bar,,Insult,,,metrical,,,,9.47,low,
3939,1,2,20,,Iarinus has fucked here with Athetus,?,2,Iarinvs hic cvm atheto fvtvit,,bar,,Sexual,,,,yes,,,9.47,low,
3943,1,2,20,,Montatus with his brother Cerialis,?,2,Montanvs cvm ceriale fratre,,bar,,Sexual,,,,,,,9.47,low,
8489,2,2,3,,Olives preserved on october 16th,?,2,Oliva condita xvii k novembres,altar,bar,,Civic,,,,,,,,low,
8461,2,2,5,,Regulus sucks it,?,2,R[e]gvlvs fel(lat),entrance,house,House of Octavis Quartio,Insult/Sexual,,,,,,,56.73,high,
8457,2,2,5,,"Saturio, starveling!",?,2,Satvrio famelice,entrance,house,House of Octavis Quartio,Insult/Threat,,,,,,,56.73,high,
7527,2,2,2,,"It is fitting to imitate, not to be jealous",?,3,Imitari decet non invidere,façade,house,House of Octavis Quartio,Insult/Threat,,,Possible quote from unknown author,,,,56.73,high,
8442,2,2,3,,I fucked the hostess,?,2,Fvtvi coponam,façade,,,Sexual,,,,,,,,low,
7535,2,2,1,,Painted by Lucius,?,3,lvcivs pinxit,garden,house,House of Octavis Quartio,Tagging,,,,,,,56.73,high,
8482,2,2,2,,Brave everywhere I will do with wom-en(…),Cugusi 2008,2,Vbiqve fortis hoc cvm fe m(ini)s a(gam)(…),latrine,house,House of Octavis Quartio,Sexual,,,,,,,56.73,high,
8483,2,2,2,,"Cock, 5 sesterces",?,2,Mentvla V hs,latrine,house,House of Octavis Quartio,Sexual,,,,,,,56.73,high,
7533a-y,2,2,2,,See names,?,2,"Danacvs, ΛΥΚΑΟΗ, ai(ax) telamonivs, hector, (phr)yges, xantvs, badivs, patroclos, thetis, badivs, achill[e]s, avto(me), don, (hect)or, avtomedon, a[c]hilles, (achil)les, (xa)nthos, dadnvs, hector, patroclv, athene, hecto®",room,house,House of Octavis Quartio,Tagging,,,,,,,56.73,high,
8492,2,2,3,,"Hello, we are wineskins. We have wanted for money what you are. When you arrived, we left with the money.",?,3,Avete vtres svmvs cot estis ere volvimvs qvando venistis ere exi(vi)mvs,,bar,,Civic,,,,,,,,low,
8820,3,2,1,,"On January 23rd a she-bear gave birth, on a Thursday",?,2,X k febra vrsa peperit diem iovis,atrium,house,House of Trebius Valens,Religious,,,,,,,24.46,medium,
8824,3,2,1,,"Your mistress, Valens, wish I were your mistress, Valens! We pray for health",?,3,Valen(s) domin(a) valens domina essem salvtem rogam(vs) ,atrium,house,House of Trebius Valens,Social,,,,,,,24.46,medium,
8831,3,2,1,,"Of arms and a man, who first... and the (man), (and) the man",?,3,Arma viirvmqve qvi p(rimvs) (virv)mq(ve) vir(vmqve),outer wall,house,House of Trebius Valens,Reference,Virgil,Aeneid,Metrical,,,,24.46,medium,
8832,3,2,1,,He who keeps in mind what life is knows what death (needs to have),?,3,Qvi meminit vitae scit qvod morti s(it habendvm),peristyle,house,House of Trebius Valens,Social,,,Hexameter,,,,24.46,medium,
4156,5,2,i,,"To Lucius Albucius, cocksucker",,2,,atrium,house,House of the silver wedding,Sexual,,,,,,,53.05,high,
4248,5,2,4,,I have come,,2,,atrium,tabernae,House of the Triclinium,Social,,,,,,,2.39,low,
3442b,5,2,4,,That's it! good luck!,,2,,dining room,tabernae,House of the Triclinium,Social,,,,,,"Beneath previous inscription, beside drawing of man making gesture",2.39,low,
3442a,5,2,4,,"You are enjoying yourselves, I am singing",,3,,dining room,tabernae,House of the Triclinium,Social,,,,,,Beside drawing of boy sitting alone between two couples,2.39,low,
4239,5,2,e,,"Fortunatus, sweet soul, you big fucker! Writen by one who knows",,3,,entrance,,House of the silver wedding,Insult,,,,,,,53.05,high,
4137,5,2,7,,For the women,,2,,entrance,house,,Social,,,,,,,19.3,low,
4140,5,2,15,,I am Amucus,,2,,entrance,house,,Tagging,,,,,,,19.71,low,name written backwards
4138,5,2,15,,"Isis/Tyche, the saving one!",Biville 2003,2,[greek],entrance,house,,Religious,,,metrical,,,,19.71,low,
4246,5,2,d,,[...] who does not lick my cock [...],,3,,entrance,house,,Sexual,,,,,,,12.77,low,
4238,5,2,3,,Beware of wives!,,2,,facade,tabernae,,Insult,,,,,,,2.69,low,
4262,5,2,6_7,,Good luck to the city of Puteoli,,2,,facade,,,Social,,,,,,,,low,
4264,5,2,6_7,,Jucundus licks Rustica's cunt,,2,,facade,,,Sexual,,,,,,,,low,
